time_register,email,student_name,student_id,dob,gender,cccd,phone_number,student_email,faculty,major,class,year,gpa,address,distance,priority_reasons,evidence_images,note
08/02/2026,phamvancuong144@gmail.com,Pham Van Cuong,2251164144,19/11/2005,Nam,1205000144,0387209149,phamvancuong144@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 1,03.08,Lào Cai,256,Sinh viên khuyết tật,https://drive.google.com/file/d/1D4c19jWZhAUdFQbE2aY5f1dqLD0n08w_/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh145@gmail.com,Bui Thi Hanh,2251164145,31/12/2005,Nữ,1205000145,0404060357,buithihanh145@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 4,3.19,Hưng Yên,325,,https://drive.google.com/file/d/1iKGdFWdacYUpVwDfBRERpO4oc14qTDm0/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh146@gmail.com,Dang Van Khanh,2251164146,08/12/2005,Nam,1205000146,0868436862,dangvankhanh146@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 1,3.18,Hưng Yên,468,,https://drive.google.com/file/d/1Po1ISGeDAfmuJQTVTKgDnAjjUcrF3PIN/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh147@gmail.com,Bui Thi Hanh,2251164147,01/06/2005,Nữ,1205000147,0383018719,buithihanh147@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 1,3.28,Lào Cai,253,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1sin-WBxGxK-0-hzsC0H1QzFsHpsky3rt/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong148@gmail.com,Vu Thi Phuong,2251164148,14/09/2003,Nữ,1205000148,0339268698,vuthiphuong148@sv.tlu.edu.vn,Môi trường,Kỹ thuật môi trường,65MT1,năm 4,3.52,Nam Định,19,Vùng sâu vùng xa,https://drive.google.com/file/d/1BwjpiZoMpo0ZGCKwpr1TuQAtQCSdvNvI/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai149@gmail.com,Do Thi Mai,2251164149,24/01/2006,Nữ,1205000149,0877440187,dothimai149@sv.tlu.edu.vn,Công nghệ thông tin,Hệ thống thông tin,64HTTT2,năm 1,3.26,Lào Cai,157,Vùng sâu vùng xa,https://drive.google.com/file/d/1DReh9kc54l07e9rReeB7IXzVFSq6IbPv/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong150@gmail.com,Hoang Van Long,2251164150,19/07/2005,Nam,1205000150,0766060333,hoangvanlong150@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 1,3.64,Nghệ An,536,Vùng sâu vùng xa,https://drive.google.com/file/d/15j-4Uw-4peyOgf4RdNueLN5VfBiKEVta/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong151@gmail.com,Hoang Van Long,2251164151,27/02/2003,Nam,1205000151,0943847348,hoangvanlong151@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 1,3.51,Hà Nội,464,Vùng sâu vùng xa,https://drive.google.com/file/d/1_PLsi_yHsVsn5bJCM_l1Mldm3QMsemH4/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai152@gmail.com,Do Thi Mai,2251164152,30/05/2005,Nữ,1205000152,0033125735,dothimai152@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Trung,66NNT1,năm 4,3.54,Gia Lai,239,Vùng sâu vùng xa,https://drive.google.com/file/d/1u1sNIgfwfQmUb80E7wqP7IPHXaH5P4JM/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh153@gmail.com,Bui Thi Hanh,2251164153,17/09/2006,Nữ,1205000153,0629343592,buithihanh153@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 1,2.71,Nam Định,290,Vùng sâu vùng xa,https://drive.google.com/file/d/1R1X-yHTHzjZyZETFBjmc6r5igwkiMF_d/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh154@gmail.com,Tran Van Binh,2251164154,16/06/2003,Nam,1205000154,0162841933,tranvanbinh154@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 4,3.34,Hà Nội,386,Vùng sâu vùng xa,https://drive.google.com/file/d/1fEC0YyiWzfXsE4nDqYGxMua3JMgVo0zl/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh155@gmail.com,Dang Van Khanh,2251164155,19/10/2005,Nam,1205000155,0837481953,dangvankhanh155@sv.tlu.edu.vn,Cơ khí,Cơ khí chế tạo,65CK1,năm 1,2.21,Nghệ An,140,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1g_wE8p5y-5h_AFGOgVIKNa0sSjL9ZcZM/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong156@gmail.com,Pham Van Cuong,2251164156,24/06/2003,Nam,1205000156,0613299784,phamvancuong156@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 1,2.85,Nghệ An,439,,https://drive.google.com/file/d/1qicGUioYNxqseHyrXJmsydgIQ2hBc3Nr/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai157@gmail.com,Do Thi Mai,2251164157,07/11/2006,Nữ,1205000157,0517629498,dothimai157@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 1,2.93,Hà Nội,524,Vùng sâu vùng xa,https://drive.google.com/file/d/1ggFcbcW42ax_-eQu7kJ25RsgpCclYtTy/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong158@gmail.com,Pham Van Cuong,2251164158,06/01/2005,Nam,1205000158,0135569587,phamvancuong158@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 1,2.54,Thanh Hóa,244,Vùng sâu vùng xa,https://drive.google.com/file/d/1usv5REjDxWLwHEN5jf4pb0lW9h0Cnlkj/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong159@gmail.com,Vu Thi Phuong,2251164159,11/05/2003,Nữ,1205000159,0911444990,vuthiphuong159@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 1,3.90,Nghệ An,396,Vùng sâu vùng xa,https://drive.google.com/file/d/1HCP6Bn0pzHPeTdsn-6RGBy4lkpEIWCj-/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh160@gmail.com,Bui Thi Hanh,2251164160,30/08/2005,Nữ,1205000160,0454952501,buithihanh160@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 2,2.82,Nam Định,435,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1h1Ix1rZvVbTBIk28R2nytn6zt84RZTY1/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh161@gmail.com,Dang Van Khanh,2251164161,11/04/2003,Nam,1205000161,0577931927,dangvankhanh161@sv.tlu.edu.vn,Kinh tế,Kinh tế xây dựng,65KTXD1,năm 1,3.83,Thanh Hóa,526,,https://drive.google.com/file/d/12VeKw84sB4sUfbrfHmKvczYuq738lvgh/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan162@gmail.com,Nguyen Van An,2251164162,31/05/2004,Nam,1205000162,0786659162,nguyenvanan162@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 2,3.58,Hà Nội,336,Vùng sâu vùng xa,https://drive.google.com/file/d/1tWy3r4QcU2zY-oB-u1LmfE2Mg132xmLL/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai163@gmail.com,Do Thi Mai,2251164163,26/04/2004,Nữ,1205000163,0295670520,dothimai163@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 3,3.37,Lào Cai,113,Sinh viên khuyết tật,https://drive.google.com/file/d/1CR8-lIW_LG5_8T8WUEEV-_ZuzGnkhaOI/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh164@gmail.com,Dang Van Khanh,2251164164,18/10/2003,Nam,1205000164,0063196962,dangvankhanh164@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 2,3.72,Gia Lai,252,Vùng sâu vùng xa,https://drive.google.com/file/d/1l51QZHqSOjGvdVQX3NDvSDd1-_iZ3T8t/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh165@gmail.com,Tran Van Binh,2251164165,02/04/2003,Nam,1205000165,0818992056,tranvanbinh165@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Trung,66NNT1,năm 1,3.31,Gia Lai,119,Vùng sâu vùng xa,https://drive.google.com/file/d/1m4meBP715uTSL4lcK5BDP1OtWObt8LS6/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh166@gmail.com,Dang Van Khanh,2251164166,25/04/2005,Nam,1205000166,0533210800,dangvankhanh166@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 1,2.37,Thanh Hóa,131,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1yvwE0LtO21_cP2EsBqIsFMzREyYHK41p/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai167@gmail.com,Do Thi Mai,2251164167,09/06/2004,Nữ,1205000167,0965306522,dothimai167@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 2,3.22,Hưng Yên,503,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1jzKLMas30RPFVum_lfuwjsUclHmFc-fK/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan168@gmail.com,Nguyen Van An,2251164168,28/12/2003,Nam,1205000168,0681913987,nguyenvanan168@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 1,2.77,Nam Định,591,,https://drive.google.com/file/d/15aUVpJfe3t7bOMmD53NCR4dqrvwiP9DP/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh169@gmail.com,Dang Van Khanh,2251164169,09/03/2003,Nam,1205000169,0026316769,dangvankhanh169@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 1,2.84,Hà Nội,319,Vùng sâu vùng xa,https://drive.google.com/file/d/11IXNk4-GVqy8WuttOLSbcfwwK-DTb2x3/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong170@gmail.com,Pham Van Cuong,2251164170,03/11/2006,Nam,1205000170,0299092847,phamvancuong170@sv.tlu.edu.vn,Quản trị kinh doanh,Marketing,65MKT1,năm 3,3.74,Lào Cai,101,Vùng sâu vùng xa,https://drive.google.com/file/d/1f0hmIw23Zyt367eruwsOzAm4pc-Uj0Zm/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh171@gmail.com,Dang Van Khanh,2251164171,28/09/2003,Nam,1205000171,0763026925,dangvankhanh171@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 3,2.10,Nam Định,375,Hộ nghèo cận nghèo,https://drive.google.com/file/d/11zIykrzPxXzEGxffbH89S_toIJC27PMx/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong172@gmail.com,Hoang Van Long,2251164172,23/01/2005,Nam,1205000172,0492109940,hoangvanlong172@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 2,3.33,Hưng Yên,225,,https://drive.google.com/file/d/1GMecGnZKli3yMt1CJ7jpwS-GtjPL8E11/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong173@gmail.com,Pham Van Cuong,2251164173,15/09/2006,Nam,1205000173,0352479287,phamvancuong173@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 1,3.90,Gia Lai,533,Vùng sâu vùng xa,https://drive.google.com/file/d/1UzINJNP7Lo2bQA2WlWsq2vRUUn5-K7Em/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh174@gmail.com,Tran Van Binh,2251164174,09/10/2003,Nam,1205000174,0382151948,tranvanbinh174@sv.tlu.edu.vn,Môi trường,Kỹ thuật môi trường,65MT1,năm 1,3.31,Gia Lai,238,Vùng sâu vùng xa,https://drive.google.com/file/d/1G8V7v4WU1PI8wVSO6_2EjF7e3e7ZZ9xD/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh175@gmail.com,Tran Van Binh,2251164175,16/05/2003,Nam,1205000175,0252587847,tranvanbinh175@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Trung,66NNT1,năm 3,2.20,Lào Cai,434,Sinh viên khuyết tật,https://drive.google.com/file/d/1ul2_z0e6Y4yFIAd5p7qg-S29mhUp5OA5/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan176@gmail.com,Nguyen Van An,2251164176,13/12/2006,Nam,1205000176,0411413656,nguyenvanan176@sv.tlu.edu.vn,Công nghệ thông tin,Hệ thống thông tin,64HTTT2,năm 1,3.18,Lào Cai,229,,https://drive.google.com/file/d/1GSvzzS79K5EhEVcNKb8EbQhjpC25RbAY/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan177@gmail.com,Nguyen Van An,2251164177,13/04/2006,Nam,1205000177,0441468653,nguyenvanan177@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 1,2.88,Nghệ An,208,Vùng sâu vùng xa,https://drive.google.com/file/d/1rqKjgQY2LmrUZv8tkAgghoi4YUwSmmTv/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong178@gmail.com,Hoang Van Long,2251164178,23/03/2004,Nam,1205000178,0459982484,hoangvanlong178@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 1,2.32,Gia Lai,557,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/15eDiwUcXZ9_sPg-E65unA89L4fzb4gK8/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong179@gmail.com,Hoang Van Long,2251164179,03/09/2004,Nam,1205000179,0662952803,hoangvanlong179@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 3,3.11,Hưng Yên,343,,https://drive.google.com/file/d/1NCA26E-XKkRHI2geBFg7N81A4V2bMSHp/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh180@gmail.com,Tran Van Binh,2251164180,15/10/2006,Nam,1205000180,0583582665,tranvanbinh180@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,2.93,Lào Cai,113,Vùng sâu vùng xa,https://drive.google.com/file/d/1-2C_oESN2FT1kJzIwqYFZxNpGvGlZqmi/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh181@gmail.com,Bui Thi Hanh,2251164181,08/02/2005,Nữ,1205000181,0728676089,buithihanh181@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 1,3.52,Nghệ An,329,Vùng sâu vùng xa,https://drive.google.com/file/d/1q_I7IL4RVxkNM_B2KOsZ8pDlqORTK9Ac/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong182@gmail.com,Pham Van Cuong,2251164182,21/10/2006,Nam,1205000182,0322337942,phamvancuong182@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,3.34,Nghệ An,208,,https://drive.google.com/file/d/147FvTltXVx5b_wJA1iU6A1xZmnTRG1OT/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,lethidieu183@gmail.com,Le Thi Dieu,2251164183,21/01/2006,Nữ,1205000183,0878325623,lethidieu183@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 2,3.92,Thanh Hóa,167,Vùng sâu vùng xa,https://drive.google.com/file/d/1gL5I-O9LCdjbQAqK2F66sHUDNU9ZdLeU/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong184@gmail.com,Hoang Van Long,2251164184,25/05/2004,Nam,1205000184,0490231165,hoangvanlong184@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 2,03.04,Hưng Yên,194,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1x_QqyLe0BmtdmW55T275G3tNPXnGjMoE/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai185@gmail.com,Do Thi Mai,2251164185,06/07/2003,Nữ,1205000185,0152330622,dothimai185@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 4,2.41,Gia Lai,349,Lưu học sinh (Lào/Campuchia),https://drive.google.com/file/d/1KlqAmISG5KrPRnTx24rAPzr0zq2iqvoa/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong186@gmail.com,Vu Thi Phuong,2251164186,20/11/2003,Nữ,1205000186,0003699281,vuthiphuong186@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 1,3.59,Nghệ An,313,,https://drive.google.com/file/d/1Kl2-yxVmN4--B-6armdfdL3Mis8C3d55/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai187@gmail.com,Do Thi Mai,2251164187,14/11/2006,Nữ,1205000187,0303324252,dothimai187@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 1,3.48,Gia Lai,456,Vùng sâu vùng xa,https://drive.google.com/file/d/1eMfKMwEM5CP0Cet6uQXYPRGgymtCP9qe/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong188@gmail.com,Hoang Van Long,2251164188,22/08/2005,Nam,1205000188,0683958098,hoangvanlong188@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 2,3.51,Nam Định,359,Vùng sâu vùng xa,https://drive.google.com/file/d/1qU86fM5R6CK4UBap3ynSRJzpb0pI4l0d/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan189@gmail.com,Nguyen Van An,2251164189,04/03/2004,Nam,1205000189,0430607783,nguyenvanan189@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 3,3.58,Hà Nội,392,,https://drive.google.com/file/d/1C9AnDlPw4TXLGujaUlOfBkA6bjc_8-eC/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai190@gmail.com,Do Thi Mai,2251164190,12/04/2006,Nữ,1205000190,0512807973,dothimai190@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 2,3.49,Lào Cai,341,,https://drive.google.com/file/d/18dQAlL_y8thq_0qSXS8Df1ysTq6ibQ5u/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai191@gmail.com,Do Thi Mai,2251164191,21/08/2004,Nữ,1205000191,0023663722,dothimai191@sv.tlu.edu.vn,Cơ khí,Cơ khí chế tạo,65CK1,năm 1,2.72,Thanh Hóa,150,,https://drive.google.com/file/d/1eFsH1ChWr4DmZzPYGPL-Wcvzb9wPy0BG/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh192@gmail.com,Bui Thi Hanh,2251164192,05/04/2003,Nữ,1205000192,0578478072,buithihanh192@sv.tlu.edu.vn,Quản trị kinh doanh,Marketing,65MKT1,năm 3,3.75,Hưng Yên,40,Vùng sâu vùng xa,https://drive.google.com/file/d/1HfKPoNAFRiUEri3Na0K5urPNVKGiLXRm/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh193@gmail.com,Tran Van Binh,2251164193,15/04/2005,Nam,1205000193,0292388686,tranvanbinh193@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 2,2.20,Hưng Yên,321,Lưu học sinh (Lào/Campuchia),https://drive.google.com/file/d/1coTFv1Pe4IpjllV0geXqoWtsUVqY2hlC/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,hoangvanlong194@gmail.com,Hoang Van Long,2251164194,01/01/2006,Nam,1205000194,0873431398,hoangvanlong194@sv.tlu.edu.vn,Quản trị kinh doanh,Marketing,65MKT1,năm 1,3.21,Lào Cai,589,Vùng sâu vùng xa,https://drive.google.com/file/d/1Gh94InHhtUKS7F89am6rSi0z20PHPlvR/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh195@gmail.com,Dang Van Khanh,2251164195,06/12/2004,Nam,1205000195,0726949012,dangvankhanh195@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 1,2.87,Gia Lai,489,Vùng sâu vùng xa,https://drive.google.com/file/d/1SEHnvqkoJ78G4q8v3_KKNEgblR54KfEW/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,lethidieu196@gmail.com,Le Thi Dieu,2251164196,30/11/2003,Nữ,1205000196,0796318084,lethidieu196@sv.tlu.edu.vn,Kinh tế,Tài chính ngân hàng,65TCNH1,năm 1,3.12,Thanh Hóa,329,Vùng sâu vùng xa,https://drive.google.com/file/d/1Ztjd9Tdb1n5gVxxBIJz5xpLvJEIgO5qL/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan197@gmail.com,Nguyen Van An,2251164197,09/05/2005,Nam,1205000197,0297469559,nguyenvanan197@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 4,2.98,Lào Cai,364,Vùng sâu vùng xa,https://drive.google.com/file/d/1QzSnOD2Ds1p0pntPpDrQGvphPXj4Ylli/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh198@gmail.com,Tran Van Binh,2251164198,29/02/2004,Nam,1205000198,0949545974,tranvanbinh198@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 3,3.31,Hưng Yên,322,Vùng sâu vùng xa,https://drive.google.com/file/d/1LZN4kppfEDvEo3tKJirDTPx4KrddtQBg/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong199@gmail.com,Vu Thi Phuong,2251164199,18/09/2005,Nữ,1205000199,0323302230,vuthiphuong199@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 1,3.99,Hưng Yên,547,Vùng sâu vùng xa,https://drive.google.com/file/d/12Oo90zFTKbJ8OfuEhA7LBdg1-ZS7MAsg/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,vuthiphuong200@gmail.com,Vu Thi Phuong,2251164200,12/12/2006,Nữ,1205000200,0923029756,vuthiphuong200@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 3,2.28,Hưng Yên,203,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1uGhKp30QUrMuEjTbKvgYLPxCM02vNQfv/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh201@gmail.com,Dang Van Khanh,2251164201,24/12/2004,Nam,1205000201,0323418122,dangvankhanh201@sv.tlu.edu.vn,Môi trường,Kỹ thuật môi trường,65MT1,năm 3,3.23,Nam Định,191,Vùng sâu vùng xa,https://drive.google.com/file/d/1xxSQm-AhJX6SA_gt9aXwQbO-48OVPa8M/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai202@gmail.com,Do Thi Mai,2251164202,13/12/2004,Nữ,1205000202,0997193919,dothimai202@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 3,3.60,Lào Cai,328,Vùng sâu vùng xa,https://drive.google.com/file/d/1v38_fpAMXcgQ2ESuka4OKJDLrRhwXU89/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh203@gmail.com,Bui Thi Hanh,2251164203,06/04/2005,Nữ,1205000203,0079903246,buithihanh203@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 1,3.94,Nghệ An,126,Vùng sâu vùng xa,https://drive.google.com/file/d/13NhN6-lccZP4YIPKYZNbCJQFF6maS7FK/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai204@gmail.com,Do Thi Mai,2251164204,10/09/2006,Nữ,1205000204,0551214539,dothimai204@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Trung,66NNT1,năm 2,3.26,Thanh Hóa,146,Vùng sâu vùng xa,https://drive.google.com/file/d/1Dq3Lla2Qmvs63YvkCyYV9nlLW70_kRn6/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh205@gmail.com,Bui Thi Hanh,2251164205,16/08/2006,Nữ,1205000205,0566573377,buithihanh205@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 4,3.18,Nam Định,224,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1Ki6P1HWEj4Wn0THkKxPmMlSAa0CzPT81/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong206@gmail.com,Pham Van Cuong,2251164206,23/03/2006,Nam,1205000206,0652992906,phamvancuong206@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 4,3.17,Nam Định,206,,https://drive.google.com/file/d/1S-8pP5pQuXx2J7621uHxJTbdwPJgyHkz/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,nguyenvanan207@gmail.com,Nguyen Van An,2251164207,12/08/2006,Nam,1205000207,0083949195,nguyenvanan207@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Anh,66NNA1,năm 3,2.95,Gia Lai,26,,https://drive.google.com/file/d/1s41uJ5GrYThE-Fq2Dl1tnhCbwMHrdfiU/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh208@gmail.com,Tran Van Binh,2251164208,21/11/2003,Nam,1205000208,0320081276,tranvanbinh208@sv.tlu.edu.vn,Công nghệ thông tin,Hệ thống thông tin,64HTTT2,năm 1,2.51,Gia Lai,382,Vùng sâu vùng xa,https://drive.google.com/file/d/1pWR9mQXcls9sVA6YzbH4amuDDTP3bsnY/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
